data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
1979,1979,Diálogo,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,chapas de aço pintadas,não consta,RES. 17/2007,"WEISSMAN, Franz",Praça da Sé
1979,1979,Emblema de Săo Paulo,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,concreto armado e bronze,não consta,RES. 17/2007,"VALENTIN, Ruben",Praça da Sé
1979,1979,Espaço Cósmico,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,aço inox e granito,não consta,RES. 17/2007,"TOYOTA, Yutaka",Praça da Sé
1979,1979,Garatuja,não figurativo,Praça da Sé,-23.55068,-46.63412,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado,não consta,não consta,"NITSCHE, Marcelo",Praça da Sé (piso das bilheterias da Estaçăo Sé)
1934,1934,Marco Zero,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Marco quilométrico,mármore  bronze e granito,não consta,RES. 17/2007,"VILLIN, Jean Gabriel",Praça da Sé
1979,1979,Nuvem Sobre a Cidade,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,aço inox,não consta,RES. 17/2007,"VLAVIANOS, Nicolas",Praça da Sé
1979,1979,Os Pássaros,não figurativo,Praça da Sé,-23.55068,-46.63412,N,não consta,não consta,DPH/SMC,Escultura Abstrata,bronze e granito,não consta,não consta,"LEIRNER, Felícia",Praça da Sé
1954,1954,Padre José de Anchieta Apóstolo do Brasil,homem,Praça da Sé,-23.55068,-46.63412,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"USAI, Heitor",Praça da Sé
1900,19--,Sem Título,não figurativo,Praça da Sé,-23.55068,-46.63412,N,não consta,não consta,DPH/SMC,Escultura Abstrata,mármore,não consta,não consta,"CAMARGO, Sérgio",Praça da Sé
2000,2000,Sem Título,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,aço inox e granito,não consta,RES. 17/2007,"CRAVO JÚNIOR, Mário",Praça da Sé
1998,1998,Sem Título,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,concreto e ferro,não consta,RES. 17/2007,"RESENDE, José",Praça da Sé
1979,1979,Sem Título,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,granito aço e concreto,não consta,RES. 17/2007,"STOCKINGER, Francisco",Praça da Sé
1979,1979,Totem Da Construçăo (antes estava Totem da Sé),não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,argamassa armada e concreto,não consta,RES. 17/2007,"CALABRONE, Domenico",Praça da Sé
1979,1979,Vôo,não figurativo,Praça da Sé,-23.55068,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Escultura Abstrata,aço inox e concreto,não consta,RES. 17/2007,"TORRES, Caciporé",Praça da Sé
1942,ca. 1942,Ascensăo,não figurativo,Praça das Guianas,-23.57172,-46.66527,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"BRANDT, Charis",Praça das Guianas
1979,1979,Monumento a Federico Garcia Lorca,não figurativo,Praça das Guianas,-23.57172,-46.66527,N,não consta,não consta,DPH/SMC,Escultura Abstrata,ferro chapas metálicas recortadas e alvenaria,não consta,não consta,"CARVALHO, Flávio de",Praça das Guianas
1988,1988,Impressőes Paulistanas,homem,Praça Deputado Afrânio de Oliveira,-23.58554,-46.69265,N,não consta,não consta,DPH/SMC,Painel,concreto e bronze,não consta,não consta,"ZURITA, Rita de Cássia Ribeiro",Praça Deputado Afrânio de Oliveira
1981,1981,Domingo – Dia do Senhor,não figurativo,Praça Dia do Senhor,-23.58112,-46.66367,N,não consta,não consta,DPH/SMC,Marco,concreto,não consta,não consta,"GARCIA, Heitor Eiras",Praça Dia do Senhor
2000,2000,Padre Gregório Westrupp,homem,Praça Dia do Senhor,-23.58112,-46.66367,N,não consta,não consta,DPH/SMC,Herma,bronze e alvenaria de tijolos,não consta,não consta,"FERNANDES, Cláudia",Praça Dia do Senhor
1927,1927,Vitórias Esportivas na Europa,não figurativo,Praça Dionísio de Carvalho,-23.56689,-46.66963,N,não consta,não consta,DPH/SMC,Escultura Figurativa,alvenaria granito e bronze,não consta,não consta,"RODRIGUES, José Wasth; MINGO, Roque de",Praça Dionísio de Carvalho
1982,1982,Monumento a ACM,não figurativo,Praça do Acemista,-23.52031,-46.72145,N,não consta,não consta,DPH/SMC,Escultura Abstrata,concreto armado,não consta,não consta,"GUIMARĂES, Antonio Carlos Barbosa",Praça do Acemista
1990,1990,Centenário de Vila Prudente,não figurativo,Praça do Centenário de Vila Prudente,-23.58168,-46.58308,N,não consta,não consta,DPH/SMC,Obelisco,concreto armado granito mármore e aço escovado,não consta,não consta,"ABRAHĂO, Délcio (Engenheiro)",Praça Centenário de Vila Prudente
1988,1988,Monumento ao Imigrante Italiano,homem,Praça do Imigrante Italiano,-23.58059,-46.68324,N,não consta,não consta,DPH/SMC,Painel,bronze e mármore,não consta,não consta,"EMENDABILI, Galileo",Praça Imigrante Italiano
1982,1982,Monumento ao Maçom,homem,Praça do Maçon,-23.520638,-46.721912,N,não consta,não consta,DPH/SMC,Totem,concreto armado piso: mosaico portuguęs com calcário e basalto,não consta,não consta,"ALEXANDRE, Carlos Alberto Inácio",Praça do Maçom
1972,1972,José Bonifácio de Andrada e Silva Patriarca da Independência,homem,Praça do Patriarca,-23.54743,-46.63635,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CESCHIATTI, Alfredo",Praça do Patriarca
2000,ca. 2000,Homenagem Aos Húngaros,não figurativo,Praça do Povo,-23.45495,-46.52576,N,não consta,não consta,DPH/SMC,Alto relevo,bronze e granito,não consta,não consta,LEBÚF,Praça do Povo Húngaro
1963,1963,Dom Gastăo Liberal Pinto,homem,Praça Dom Gastão Liberal Pinto,-23.5835,-46.67006,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CAMAROTTO, Arthur",Praça Dom Gastăo Liberal Pinto
1942,1942,Camőes,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CUCÊ, José",Praça Dom José Gaspar
1947,1947,Cervantes,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"GALVEZ, Rafael",Praça Dom José Gaspar
1954,1954,Chopin,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Máscara estela,bronze e granito,não consta,não consta,desconhecido,Praça Dom José Gaspar
1947,1947,Cruzeiro,não figurativo,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Cruzeiro,granito,não consta,não consta,desconhecido,Praça Dom José Gaspar
1955,1955,Dante,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Estátua,mármore,não consta,não consta,"GIORGI, Bruno",Praça Dom José Gaspar
1976,1976,Goethe,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Cabeça,bronze e mármore,não consta,não consta,"SIGULDA, Tao",Praça Dom José Gaspar
1946,1946,Mário de Andrade,homem,Praça Dom José Gaspar,-23.54673,-46.64216,N,não consta,não consta,DPH/SMC,Cabeça,bronze e granito,não consta,não consta,"GIORGI, Bruno",Praça Dom José Gaspar
1983,,Adoniran Barbosa,homem,Praça Dom Orione,-23.56065,-46.64579,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Dom Orione
1972,1972,Dom Luiz Orione,homem,Praça Dom Orione,-23.56065,-46.64579,N,não consta,não consta,DPH/SMC,Herma,bronze e granito,não consta,não consta,"MORRONE, Luiz",Praça Dom Orione
1900,19--,Nossa Senhora Auxiliadora,mulher,Praça Domingos Correia da Cruz,-23.4913,-46.63361,N,não consta,não consta,DPH/SMC,Estátua,argamassa armada e concreto,não consta,não consta,desconhecido,Praça Domingos Correia da Cruz
1997,,A Torre,não figurativo,Praça dos Libaneses,-23.61525,-46.691,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço corten e bronze,não consta,não consta,"PIZA, Arthur Luiz",Praça dos Libaneses (Avenida Jornalista Roberto Marinho)
2000,2000,Passaredo,homem,Praça dos Omaguás,-23.562321,-46.692206,N,não consta,não consta,DPH/SMC,Escultura Figurativa,bronze e granito,não consta,não consta,"EID, Odette",Praça dos Omaguás
1978,1978,Crucifixo,não figurativo,Praça Doutor Afrodísio Vidigal,-23.57769,-46.64109,N,não consta,não consta,DPH/SMC,Crucifixo,bronze e granito,não consta,não consta,desconhecido,Praça Doutor Afrodísio Vidigal
1970,1970,Romeiros de Pirapora,homem,Praça Doutor Francisco Ferreira Lopes,-23.64672,-46.70868,N,não consta,não consta,DPH/SMC,Painel,alvenaria  concreto mosaico de pedras e pintura mural,não consta,não consta,"GUERRA, Julio",Praça Francisco Ferreira Lopes
1950,1950,Contando a Féria,não figurativo,Praça Doutor João Mendes,-23.55209,-46.63412,S,https://www.prefeitura.sp.gov.br/cidade/upload/2ffeb_17_T_Centro_Velho.pdf,não consta,DPH/SMC,Grupo escultórico,bronze e granito,não consta,RES. 17/2007,"CIPICCHIA, Ricardo",Praça Doutor Joăo Mendes
1988,1988,Joăo Mendes,homem,Praça Doutor João Mendes,-23.55209,-46.63412,N,não consta,não consta,DPH/SMC,Herma,bronze e concreto,não consta,não consta,"ZADIG, William",Praça Doutor Joăo Mendes
1958,,Acabou a Greve,não figurativo,Praça Doutor Sampaio Vidal,-23.56734,-46.54107,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"CIPICCHIA, Ricardo",Praça Doutor Sampaio Vidal
1988,1988,Washington Pelúcio,não figurativo,Praça Dr. Washington Pelúcio,-23.58593,-46.63022,N,não consta,não consta,DPH/SMC,Marco,granito,não consta,não consta,desconhecido,Praça Washington Pelúcio
